subtitle,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking
San Cristóbal,66.0,2,1.0,96000,1455,multi-storey building,False,False,False,True,False
San Cristóbal,63.0,3,1.0,82000,1302,multi-storey building,False,False,False,True,False
Los Rosales,59.0,2,1.0,126900,2151,multi-storey building,False,False,False,False,False
Villaverde,95.0,3,1.0,199000,2095,multi-storey building,False,False,False,True,True
San Andrés,65.0,2,1.0,232000,3569,multi-storey building,False,False,True,True,True
San Andrés,69.0,2,1.0,240000,3478,multi-storey building,False,False,True,True,False
Los Rosales,115.0,4,2.0,330000,2870,multi-storey building,False,False,True,False,False
San Andrés,60.0,3,1.0,120000,2000,multi-storey building,False,False,False,True,False
San Andrés,90.0,3,2.0,172000,1911,multi-storey building,False,False,True,True,True
Villaverde,60.0,3,1.0,82260,1371,multi-storey building,False,False,True,True,False
Los Ángeles,65.0,2,1.0,109000,1677,multi-storey building,False,False,True,True,False
Los Ángeles,115.0,4,1.0,133000,1157,multi-storey building,False,False,True,True,False
San Cristóbal,83.0,3,2.0,111000,1337,multi-storey building,True,False,True,True,False
San Andrés,55.0,2,1.0,110000,2000,multi-storey building,False,False,False,True,False
Villaverde,80.0,2,2.0,179990,2250,multi-storey building,False,False,True,True,True
San Andrés,68.0,3,1.0,156000,2294,multi-storey building,False,False,False,True,False
San Andrés,89.0,2,2.0,228000,2562,multi-storey building,False,False,True,True,False
San Cristóbal,61.0,3,1.0,89000,1459,multi-storey building,False,False,False,True,False
Los Ángeles,67.0,3,1.0,119000,1776,multi-storey building,False,False,False,False,False
San Cristóbal,68.0,3,1.0,94000,1382,multi-storey building,False,False,False,True,False
Villaverde,92.0,3,2.0,175000,1902,multi-storey building,False,False,True,True,False
Villaverde,70.0,3,1.0,90000,1286,multi-storey building,False,False,False,True,False
Los Rosales,63.0,3,1.0,167000,2651,multi-storey building,False,False,True,True,False
Villaverde,57.0,3,1.0,96000,1684,multi-storey building,False,False,False,True,False
San Andrés,63.0,3,1.0,84000,1333,multi-storey building,False,False,False,True,False
Los Ángeles,52.0,2,1.0,101000,1942,multi-storey building,True,False,False,False,False
Los Rosales,125.0,3,2.0,210000,1680,multi-storey building,False,False,True,True,True
Butarque,125.0,3,3.0,275000,2200,duplex,False,False,True,False,False
Los Rosales,75.0,3,1.0,131400,1752,multi-storey building,False,False,False,False,False
San Andrés,71.0,3,1.0,131400,1851,multi-storey building,False,False,False,False,False
Villaverde,80.0,3,1.0,95000,1188,multi-storey building,False,False,False,True,False
Villaverde,66.0,3,1.0,93000,1409,multi-storey building,False,False,False,True,False
San Andrés,95.0,2,2.0,154500,1626,multi-storey building,False,False,True,False,False
Butarque,61.0,3,1.0,100000,1639,multi-storey building,False,False,False,True,False
San Cristóbal,42.0,4,1.0,95900,2283,multi-storey building,False,False,False,False,False
Villaverde,85.0,3,1.0,154900,1822,multi-storey building,False,False,False,True,True
Los Ángeles,80.0,2,1.0,115000,1438,multi-storey building,False,False,True,True,False
Los Rosales,55.0,2,1.0,96000,1745,multi-storey building,False,False,False,True,False
San Andrés,60.0,0,1.0,85000,1417,,False,False,False,True,False
San Cristóbal,60.0,2,1.0,95000,1583,multi-storey building,False,False,False,True,False
Villaverde,55.0,3,1.0,78000,1418,multi-storey building,False,False,False,True,False
Villaverde,93.0,3,1.0,128500,1382,multi-storey building,False,False,False,True,False
Villaverde,55.0,2,1.0,95000,1727,multi-storey building,False,False,False,True,False
San Cristóbal,82.0,3,1.0,83900,1023,multi-storey building,False,False,False,True,False
Los Rosales,53.0,2,1.0,96000,1811,multi-storey building,False,False,False,True,False
San Andrés,69.0,2,1.0,118600,1719,multi-storey building,False,False,False,False,False
Los Rosales,58.0,2,1.0,118000,2034,multi-storey building,False,False,False,True,False
Los Rosales,70.0,2,1.0,202000,2886,multi-storey building,False,False,True,True,False
Los Rosales,47.0,1,1.0,144000,3064,multi-storey building,False,False,True,False,False
Los Rosales,64.0,2,1.0,98968,1546,multi-storey building,False,False,False,False,False
Los Rosales,50.0,2,1.0,105000,2100,multi-storey building,False,False,False,True,False
Butarque,103.0,3,2.0,265000,2573,duplex,False,False,True,True,True
Butarque,90.0,3,2.0,290000,3222,multi-storey building,False,False,True,True,True
Butarque,66.0,2,1.0,90000,1364,multi-storey building,False,False,False,True,False
San Andrés,70.0,2,1.0,75000,1071,multi-storey building,False,False,False,True,False
San Andrés,60.0,2,1.0,125000,2083,multi-storey building,False,False,False,True,False
Butarque,101.0,2,2.0,255000,2525,multi-storey building,False,False,True,True,True
San Andrés,75.0,3,1.0,117300,1564,multi-storey building,False,False,False,False,False
San Andrés,55.0,2,1.0,96600,1756,multi-storey building,True,False,False,True,False
Los Ángeles,77.0,3,1.0,119000,1545,multi-storey building,False,False,False,True,False
Los Rosales,56.0,3,1.0,100000,1786,multi-storey building,False,False,True,True,False
Butarque,68.0,3,1.0,97000,1426,multi-storey building,False,False,False,True,False
Los Rosales,72.0,3,1.0,95000,1319,multi-storey building,True,False,True,True,False
San Andrés,70.0,3,1.0,135000,1929,multi-storey building,False,False,False,True,False
Los Rosales,75.0,2,2.0,195000,2600,multi-storey building,False,False,False,True,False
San Andrés,120.0,3,1.0,195000,1625,multi-storey building,False,False,False,True,False
San Andrés,91.0,2,2.0,215000,2363,multi-storey building,False,False,True,True,True
San Andrés,95.0,2,1.0,122000,1284,multi-storey building,False,False,False,True,False
Los Ángeles,61.0,3,1.0,125000,2049,multi-storey building,False,False,False,True,False
Los Rosales,73.0,2,1.0,120000,1644,multi-storey building,False,False,False,True,False
San Andrés,66.0,3,1.0,93000,1409,multi-storey building,True,False,False,True,False
Los Ángeles,68.0,2,1.0,125000,1838,multi-storey building,False,False,False,True,False
San Andrés,70.0,3,1.0,104840,1498,multi-storey building,False,False,False,True,False
San Cristóbal,42.0,4,1.0,95900,2283,multi-storey building,False,False,False,False,False
Los Ángeles,54.0,3,1.0,71000,1315,multi-storey building,True,False,False,False,False
Los Rosales,56.0,3,1.0,105000,1875,multi-storey building,False,False,True,True,False
Los Ángeles,100.0,4,1.0,165000,1650,multi-storey building,False,False,True,True,False
Los Ángeles,125.0,4,2.0,173000,1384,multi-storey building,False,False,True,True,False
